"_id","Commune","Date_debut","Date_fin","Departement","id","Lambert_X","Lambert_Y","Nom_du_site","Periodes","Region","Themes","Type_intervention"
"608ab357aa2e0000950006e5","Bobigny","15/10/2002","31/05/2003","Seine-Saint-Denis","81","657897","6868292","Hôpital Avicenne","#Protohistoire","Ile-de-France",,"fouille"
"608ab357aa2e0000950006e6","Ivry-sur-Seine","02/04/2003","14/06/2003","Val-de-Marne","82","655240","6856656","44-46, rue Raspail","#Néolithique#Protohistoire#Moyen Âge#Moderne, Contemporain","Ile-de-France",,"fouille"
"608ab357aa2e0000950006e7","Reims","19/05/2003","20/06/2003","Marne","83","774740","6906565","11-19  rue Buirette","#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne","#Habitats, architecture, édifices","fouille"
"608ab357aa2e0000950006e8","Thionville","12/05/2003","24/06/2003","Moselle","84","930111,5","6922382","24-26, rue de la Vieille-Porte","#Moyen Âge#Moderne, Contemporain#Autres périodes","Lorraine",,"fouille"
"608ab357aa2e0000950006e9","Haguenau","26/05/2003","24/06/2003","Bas-Rhin","85","1051403","6867662","Rue des Anneaux","#Moyen Âge#Moderne, Contemporain","Alsace",,"fouille"
"608ab357aa2e0000950006ea","Marseille","25/03/2002 00:00","25/06/2003 00:00","Bouches-du-Rhône","86","892422,458","6247136,226","Espace Bargemon","#Antiquité#Moyen Âge#Moderne, Contemporain","Provences-Alpes-Côte-d'Azur","#Habitats, architecture, édifices#Industrie, artisanat#Peuplement, occupation espace","fouille"
"608ab357aa2e0000950006eb","Bordeaux","28/01/2002","15/07/2003","Gironde","87","417942,118","6422354,847","Parking Place Jean-Jaurès","#Moyen Âge","Aquitaine",,"fouille"
"608ab357aa2e0000950006ec","Bouafles","05/05/2003","18/07/2003","Eure","88","582000","6902000","La Plante à Tabac","#Néolithique","Haute-Normandie",,"fouille"
"608ab357aa2e0000950006ed","Optevoz","17/07/2003","21/07/2003","Isère","89","881056","6519336","Chemin de la Cure Bataillier","#Moyen Âge#Autres périodes","Rhône-Alpes",,"fouille"
"608ab357aa2e0000950006ee","Ploisy","23/06/2003","25/07/2003","Aisne","90","719422,442","6915202,639","Zone 6 Bras De Fer","#Antiquité","Picardie",,"fouille"
"608ab357aa2e0000950006ef","Sainte-Marie-aux-Mines","15/07/2003","02/08/2003","Haut-Rhin","91","1010449","6802126","Mine Saint-Louis Eisenthür","#Moyen Âge#Moderne, Contemporain","Alsace",,"fouille"
"608ab357aa2e0000950006f0","Nîmes","07/07/2003","14/08/2003","Gard","92","808779,33","6304316,46","78 avenue Jean-Jaurès","#Antiquité","Languedoc-Roussillon",,"fouille"
"608ab357aa2e0000950006f1","Saint-Memmie","29/07/2003","22/08/2003","Marne","93","800920","6873135","9, rue du Pont-Alips","#Protohistoire#Antiquité#Moyen Âge#Moderne, Contemporain","Champagne-Ardenne",,"fouille"
